mimetype|dbb|count|ext
application/cmd|39|1|cmd
application/cmd|36|1|cmd
application/cmd|35|1|cmd
application/cmd|34|2|cmd
application/cmd|33|3|cmd
application/cmd|32|1|cmd
application/cmd|23|1|cmd
application/cmd|20|4|cmd
application/cmd|19|1|cmd
application/comicbook+tar|52|1|cbt
application/comicbook+tar|51|1|cbt
application/comicbook+tar|50|2|cbt
application/comicbook+tar|42|3|cbt
application/comicbook+tar|41|4|cbt
application/comicbook+tar|40|1|cbt
application/comicbook+tar|39|1|cbt
application/coreldraw|72|5|cdr
application/coreldraw|70|4|cdr
application/coreldraw|55|1|cdr
application/coreldraw|41|1|cdr
application/font-sfnt|54|1|ttf
application/font-sfnt|49|4|ttf
application/font-sfnt|48|5|ttf
application/font-sfnt|47|1|ttf
application/font-sfnt|44|1|ttf
application/font-sfnt|42|1|ttf
application/internet-shortcut|46|1|url
application/internet-shortcut|23|2|url
application/internet-shortcut|22|4|url
application/internet-shortcut|20|1|url
application/internet-shortcut|19|4|url
application/internet-shortcut|16|1|url
application/java|38|1|...
application/java|37|3|...
application/java|36|10|...
application/java|35|12|...
application/java|34|24|...
application/java|33|18|...
application/java|32|21|...
application/java|31|39|...
application/java|30|33|...
application/java|29|14|...
application/java|28|23|...
application/java|27|40|...
application/java|26|13|...
application/java|25|1|...
application/java|23|1|...
application/javascript|63|3|js
application/javascript|60|2|js
application/javascript|59|3|js
application/javascript|58|4|js
application/javascript|57|5|js
application/javascript|56|4|js
application/javascript|55|3|js
application/javascript|54|12|js
application/javascript|53|21|js
application/javascript|52|10|js
application/javascript|51|8|js
application/javascript|50|39|js
application/javascript|49|8|js
application/javascript|48|13|js
application/javascript|47|23|js
application/javascript|46|37|js
application/javascript|45|18|js
application/javascript|44|33|js
application/javascript|43|25|js
application/javascript|42|11|js
application/javascript|41|37|js
application/javascript|40|30|js
application/javascript|39|24|js
application/javascript|38|13|js
application/javascript|37|14|js
application/javascript|36|19|js
application/javascript|35|19|js
application/javascript|34|10|js
application/javascript|33|21|js
application/javascript|32|19|js
application/javascript|31|16|js
application/javascript|30|8|js
application/javascript|29|7|js
application/javascript|28|23|js
application/javascript|27|1|js
application/javascript|26|6|js
application/javascript|25|2|js
application/javascript|24|1|js
application/javascript|23|4|js
application/javascript|22|4|js
application/javascript|21|9|js
application/javascript|20|4|js
application/javascript|19|2|js
application/javascript|14|2|js
application/javascript|13|2|js
application/msaccess|66|2|mdb
application/msaccess|62|1|mdb
application/msaccess|55|1|mdb
application/msonenote|67|1|one
application/msword|67|1|doc
application/msword|65|1|doc
application/msword|58|1|doc
application/msword|57|1|doc
application/msword|53|3|doc
application/msword|52|88|doc
application/msword|51|2|doc
application/msword|50|3|doc
application/msword|49|5|doc
application/msword|48|6|doc
application/msword|47|8|doc
application/msword|46|10|doc
application/msword|45|10|doc
application/msword|44|18|doc
application/msword|43|13|doc
application/msword|42|8|doc
application/msword|41|21|doc
application/msword|40|5|doc
application/msword|39|10|doc
application/msword|38|6|doc
application/msword|37|10|doc
application/msword|36|6|doc
application/msword|35|4|doc
application/msword|34|5|doc
application/msword|33|5|doc
application/msword|32|2|doc
application/msword|31|4|doc
application/msword|30|1|doc
application/msword|29|4|doc
application/msword|28|2|doc
application/msword|27|2|doc
application/msword|25|1|doc
application/msword|24|2|doc
application/msword|0|1|doc
application/octet-stream|94|1|
application/octet-stream|91|1|
application/octet-stream|88|1|
application/octet-stream|84|1|
application/octet-stream|82|2|
application/octet-stream|80|2|
application/octet-stream|79|1|
application/octet-stream|76|2|
application/octet-stream|75|1|
application/octet-stream|73|1|
application/octet-stream|71|1|
application/octet-stream|70|2|
application/octet-stream|69|1|
application/octet-stream|67|1|
application/octet-stream|66|2|
application/octet-stream|65|7|
application/octet-stream|64|4|
